StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
451.0,David Rodriguez,Female,74.2,13.1,91.2,1.0,high,81.4,4.1,55.7,False
10.0,Alex Jackson,Female,64.3,16.1,86.2,2.0, Medium ,73.0,1.9,53.8,True
197.0,James Harris,Male,85.9,17.6,72.2,1.0,medium,85.8,1.9,68.3,True
617.0,Noah Clark,Female,81.7,15.9,43.7,0.0, Low ,69.5,4.7,76.7,True
82.0,Mia Allen,male,90.4,18.4,79.2,1.0,Medium,93.2,-0.9,66.7,False
817.0,Sarah Davis,Female,69.2,21.8,84.2,3.0,,86.3,1.8,88.0,False
501.0,Michael Jackson,Female,83.6,8.4,90.7,0.0,Medium,,1.3,85.0,True
893.0,Amelia Robinson,Male,81.6,21.0,76.1,2.0,,81.9,-3.9,78.6,False
240.0,Ethan Johnson,Female,84.0,10.8,60.3,0.0,Medium,77.8,3.1,73.8,False
307.0,Sophia Davis,Male,69.8,5.1,86.1,0.0,LOW,74.7,-1.9,84.8,False
212.0,Abigail Clark,Female,66.0,24.6,81.3,1.0,High,81.3,0.0,105.9,False
732.0,Benjamin Walker,Female,72.7,11.1,84.9,2.0,Medium,76.5,4.5,76.4,False
378.0,Matthew Sanchez,male,79.4,17.4,73.3,0.0,HIGH,,3.2,96.5,False
591.0,Jackson Sanchez, Male ,89.7,22.0,85.7,3.0,Medium,82.2,2.7,62.2,False
228.0,Harper Allen,Female,84.5,14.6,80.1,0.0,High,85.6,2.9,109.3,False
933.0,Noah Lewis,Male,65.4,11.2,62.1,0.0,MEDIUM,61.9,5.0,60.2,True
536.0,Emma Smith,Female,85.9,11.4,66.9,,High,83.7,0.9,85.1,True
812.0,Sebastian Thompson,Male,71.1,14.0,62.0,1.0,MEDIUM,62.9,3.9,44.4,False
178.0,Emma Garcia, Male ,,14.7,91.0,1.0,Medium,86.8,3.5,28.8,True
789.0,Henry Moore,Male,81.5,21.2,67.5,3.0,High,85.3,2.3,96.6,False
382.0,David Rodriguez,MALE,82.1,22.6,73.9,1.0,High,80.7,2.4,73.6,False
491.0,Sofia Rodriguez,Male,82.6,9.0,66.3,1.0,High,69.6,2.7,103.2,False
332.0,Isabella Harris,female,81.9,15.3,93.6,0.0,medium,86.9,4.0,31.0,False
935.0,Mia Jones,Female,73.1,19.5,61.1,1.0, Medium ,71.1,1.2,109.3,False
8.0,Daniel Jackson,MALE,68.4,23.9,52.2,,High,78.2,4.0,80.2,False
156.0,Evelyn Lee,Male,87.3,11.9,85.3,1.0,Low,71.8,2.3,71.4,False
552.0,Isabella Lewis,Male,99.8,13.9,78.1,1.0,Low,78.2,2.9,86.9,True
868.0,Elizabeth Sanchez,MALE,96.7,16.4,80.7,3.0,HIGH,82.9,2.8,35.7,False
597.0,Harper Thompson,Female,,13.3,85.4,1.0, Medium ,76.6,1.0,70.6,False
916.0,Mia Jackson,Male,57.6,,,1.0,High,55.4,3.2,74.2,False
793.0,Abigail Wilson,Female,88.8,7.6,80.8,0.0,MEDIUM,74.1,3.9,197.4,True
818.0,Michael Davis,female,100.0,3.3,72.1,1.0,Medium,78.4,-0.6,74.9,True
352.0,,Female,62.3,13.8,71.3,2.0,medium,80.7,2.9,39.9,False
590.0,Elizabeth Smith,,70.8,24.5,75.7,, Low ,75.9,0.6,52.5,True
951.0,Alex Walker,Male,73.0,2.8,92.1,0.0,LOW,67.2,1.7,108.8,True
579.0,,Female,72.1,11.0,66.7,2.0,LOW,64.8,1.6,65.1,True
437.0,Harper Taylor,FEMALE,66.5,21.9,58.6,0.0,Medium,80.6,2.1,113.1,True
826.0,Alex Walker,female,85.6,22.1,95.3,2.0,LOW,87.7,4.3,87.6,True
595.0,Sophia Harris,MALE,85.7,13.3,81.9,0.0,High,89.4,3.2,59.3,True
722.0,Sofia Sanchez,FEMALE,84.3,7.0,76.0,0.0,Low,67.3,2.8,88.2,False
,David Anderson,male,71.2,15.2,64.9,1.0,Medium,61.0,6.1,92.0,False
975.0,Emma Martin,MALE,79.6,8.3,97.9,1.0,High,85.8,-2.5,92.1,False
229.0,Henry Jones,Male,80.6,23.7,100.0,1.0, Medium ,100.0,2.5,67.4,True
371.0,James Robinson,Male,89.5,10.5,63.4,1.0,High,74.0,4.5,72.5,False
837.0,Jackson Young,Female,100.0,18.7,71.9,0.0,HIGH,91.7,3.6,106.0,True
213.0,Emily Thomas,FEMALE,83.4,13.2,81.8,0.0,medium,70.8,3.1,116.4,False
80.0,Daniel Lewis,male,97.2,19.8,65.2,1.0,low,80.4,2.1,48.2,True
149.0,Jackson White,female,79.8,21.0,84.4,2.0,High,88.3,2.6,104.6,False
303.0,John White,Female,75.7,,78.6,3.0,High,87.4,0.9,79.1,False
353.0,Ava Moore,female,84.7,13.5,68.7,3.0,High,89.4,2.3,95.5,False
343.0,Ethan Brown,Female,79.0,21.2,72.4,1.0,Medium,69.0,2.0,82.9,False
631.0,Matthew Lee,Female,84.0,23.4,100.0,0.0,Medium,,0.9,114.2,True
360.0,Matthew Wilson,Male,79.4,21.1,71.4,0.0,Low,80.0,1.6,73.5,False
940.0,Amelia Miller,Male,87.9,13.0,59.8,3.0,High,79.4,3.3,61.3,True
539.0,Henry Harris,Female,76.7,20.9,67.2,3.0,High,76.0,3.2,62.7,False
134.0,Henry Sanchez, Male ,74.7,20.3,80.4,1.0,medium,89.3,0.1,54.5,False
980.0,Henry Clark,male,80.7,27.6,63.5,3.0,High,85.3,-0.4,75.8,False
312.0,Daniel Wilson,Male,82.7,19.5,58.9,0.0,high,80.7,2.5,65.2,True
811.0,Sarah Davis, Female ,86.2,22.5,59.7,2.0,HIGH,82.2,3.8,113.1,True
853.0,David Thomas,Male,95.7,15.0,75.5,2.0,medium,92.8,4.9,43.7,False
804.0,Sofia Davis,Male,80.1,25.7,85.4,0.0,High,84.8,3.2,58.6,True
,Alex Ramirez,Female,91.6,8.4,76.2,2.0,Medium,87.7,1.7,83.9,
317.0,Abigail Harris,Male,68.5,19.3,64.1,0.0,High,85.4,2.2,95.7,True
721.0,Emma Williams,Female,100.0,10.1,89.5,0.0,high,89.2,4.0,98.0,True
558.0,Sebastian Clark,Female,75.4,22.3,86.6,4.0,High,91.8,4.1,80.6,True
452.0,Sofia Johnson,FEMALE,87.1,27.3,100.0,2.0,high,100.0,1.2,56.2,False
543.0,Olivia Williams,Female,86.3,27.8,78.3,1.0,High,95.2,2.1,51.6,True
500.0,Benjamin Lewis,Female,76.1,27.7,65.1,3.0,HIGH,77.9,0.9,111.0,False
666.0,Daniel Anderson,Female,83.9,19.3,73.9,3.0,High,87.3,5.1,67.1,True
173.0,Emily Anderson, Female ,83.5,15.7,67.2,2.0,LOW,79.3,1.6,46.8,False
126.0,Henry Lewis,Male,65.8,22.0,99.4,2.0,High,96.9,3.8,73.8,True
712.0,Amelia Moore,Male,71.2,20.1,82.3,0.0,High,79.4,4.5,56.6,False
441.0,Charlotte Clark,male,76.5,12.6,82.7,1.0,High,88.5,4.4,66.4,False
653.0,Liam Johnson,FEMALE,91.1,,67.3,1.0,High,87.5,4.5,77.3,False
919.0,Noah Thomas,Female,82.4,10.2,69.3,2.0,LOW,73.0,3.6,51.3,True
91.0,Mia Jackson,female,66.3,5.9,66.1,1.0,Medium,69.6,3.1,84.7,False
989.0,Noah Miller,Female,89.7,12.8,91.8,1.0,,81.3,0.4,67.6,True
182.0,Emma Walker,Male,87.0,15.5,95.0,1.0,High,92.7,-4.2,71.1,True
364.0,Sebastian Miller,MALE,88.4,9.8,72.5,0.0, High ,80.1,4.2,88.2,False
275.0,, Male ,76.8,15.8,75.9,0.0,High,77.6,2.2,119.7,False
911.0,Emily Williams,MALE,71.0,14.5,56.3,0.0,MEDIUM,76.4,0.7,109.6,True
70.0,Lucas Smith,Male,88.2,12.7,73.7,1.0,High,81.4,2.9,25.3,False
292.0,Ava Lewis,male,75.8,13.6,67.4,0.0,HIGH,73.9,2.3,53.8,True
132.0,Henry White,Female,67.9,29.0,91.2,0.0, Low ,92.1,0.1,85.9,True
301.0,,MALE,70.2,11.8,69.7,2.0,High,78.7,3.6,72.4,False
,Amelia Jones,FEMALE,88.2,13.5,55.6,1.0,High,81.6,3.4,97.0,False
327.0,Noah White,male,93.1,16.1,71.0,1.0,Low,81.8,5.9,58.8,False
145.0,Charlotte Martinez,Male,78.9,23.1,75.8,0.0,LOW,75.6,-5.0,42.2,True
577.0,Sofia Martin,Male,77.4,16.8,100.0,4.0,High,91.9,2.5,81.4,False
594.0,Charlotte Smith,Male,100.0,15.5,68.5,2.0,LOW,82.6,1.0,64.0,True
,Jackson Lee,Male,84.0,20.7,81.6,1.0,low,81.8,2.3,174.5,True
136.0,Sophia Johnson,Female,86.5,11.1,,1.0, High ,96.4,4.4,75.1,True
941.0,Daniel Jones,female,77.5,18.4,74.4,2.0,Medium,87.4,1.6,52.6,True
165.0,Benjamin Jackson,Female,83.9,12.7,74.2,0.0,Medium,76.5,2.6,34.9,False
29.0,Henry Martin,female,85.3,24.3,76.1,1.0,High,88.9,2.6,89.9,True
573.0,Ava Sanchez,Female,88.6,8.6,82.0,1.0,Medium,83.6,0.5,90.5,False
194.0,James Harris,Male,78.1,11.0,83.6,2.0,,76.6,4.2,68.1,True
778.0,Michael Jones,FEMALE,81.1,20.4,77.7,1.0,High,92.5,2.7,81.0,True
651.0,Lucas Garcia,,85.9,17.4,81.7,0.0,Medium,81.7,4.6,69.3,False
170.0,John Walker,Female,92.8,15.7,82.6,0.0,MEDIUM,86.9,0.4,31.5,True
881.0,Alex Anderson,Male,96.8,13.9,50.5,1.0,Medium,84.1,4.9,44.3,False
141.0,Charlotte Robinson,Female,81.5,12.7,86.6,0.0,medium,82.0,3.0,64.8,True
174.0,Abigail Garcia,FEMALE,81.8,,73.5,3.0,Medium,82.3,4.3,90.7,False
7.0,Alex Lewis, Male ,69.1,13.4,91.3,4.0,Low,75.7,-0.2,75.7,False
828.0,Sebastian Allen,Female,100.0,22.4,66.8,2.0,Low,94.0,1.2,85.8,True
502.0,Evelyn Davis, Male ,75.6,15.8,91.1,1.0,Medium,84.6,4.5,66.9,True
74.0,Michael Jackson,MALE,70.4,16.9,79.2,1.0,Medium,80.0,-4.4,85.2,False
697.0,Abigail Moore,male,85.3,,79.3,1.0,medium,79.8,2.0,78.7,False
546.0,,Male,93.2,13.2,71.3,2.0,Medium,79.6,0.4,66.6,True
239.0,Sophia Rodriguez,MALE,64.6,18.4,62.3,0.0,Medium,73.4,4.9,29.7,False
146.0,Elizabeth Moore,,,10.6,84.7,0.0,high,74.1,5.0,67.9,False
807.0,Henry Smith,Male,88.1,,65.4,1.0,medium,66.4,3.3,150.1,True
235.0,Lucas Thompson,Female,69.5,24.4,90.4,0.0,Low,83.6,3.4,28.4,True
221.0,Michael Thompson,Female,67.0,23.4,67.4,1.0,Medium,83.7,1.5,128.3,False
498.0,Isabella Clark,FEMALE,70.0,16.7,86.8,1.0,,84.9,4.4,96.2,False
982.0,Abigail Perez,Male,87.7,16.3,49.1,3.0,High,83.9,2.9,72.3,True
133.0,Alex Clark,Female,80.3,18.8,96.6,2.0,Low,88.7,2.1,71.7,True
860.0,Jackson Sanchez,male,79.3,20.6,100.0,3.0, Medium ,87.6,4.4,86.7,True
431.0,Alex Moore,Male,92.2,11.1,60.4,1.0,medium,73.7,4.3,115.6,True
669.0,Sofia Jackson,male,86.2,11.6,72.4,2.0,Medium,75.1,3.2,57.2,True
186.0,Mia Martinez,Male,82.5,15.1,57.3,1.0,Medium,72.1,4.4,84.6,False
42.0,Matthew Lewis,Female,75.8,17.5,90.9,0.0,Low,80.3,2.9,56.6,False
706.0,Henry Lewis,Male,94.5,18.0,78.6,1.0,Low,91.6,0.7,101.1,False
109.0,Lucas Young,MALE,89.3,5.1,80.9,,Medium,88.6,0.4,95.0,False
602.0,Emily Sanchez,Male,99.2,17.2,87.8,1.0,medium,90.0,1.9,77.8,True
57.0,Henry Thomas,FEMALE,74.9,16.1,,2.0,Low,86.5,0.3,39.9,True
426.0,Olivia Ramirez,,84.7,17.8,75.7,2.0,Medium,84.3,5.3,26.3,False
463.0,Matthew Johnson,Male,62.8,8.4,61.8,1.0,High,66.5,3.3,59.1,False
586.0,Sofia Martinez,FEMALE,72.1,13.8,73.2,2.0, Low ,84.8,3.3,72.4,True
967.0,Ethan Anderson,MALE,100.0,18.3,77.0,1.0,High,82.4,1.5,77.6,True
25.0,Emily Ramirez,male,89.8,15.4,85.5,2.0,High,89.1,4.3,56.0,False
77.0,Sophia Harris,Male,89.5,10.8,86.3,1.0,MEDIUM,71.8,4.1,73.3,False
468.0,Harper Anderson, Female ,71.8,17.7,57.9,2.0,medium,78.2,3.8,67.1,False
542.0,Sarah Davis,female,75.3,20.1,85.7,2.0,High,86.1,2.3,64.5,True
632.0,Sophia Robinson,Female,88.3,12.0,75.7,3.0,HIGH,90.5,2.9,73.3,False
708.0,Harper Walker,Male,64.9,12.3,62.7,0.0,,67.3,3.2,82.6,False
943.0,Sofia Robinson, Female ,84.8,11.7,66.8,4.0,Low,76.2,1.8,99.5,False
339.0,Liam Clark,Male,76.4,19.4,85.1,4.0, Low ,85.8,4.5,76.3,False
52.0,Olivia Wilson,MALE,87.5,26.2,58.3,0.0,low,85.3,2.2,20.1,False
384.0,Noah Robinson,Male,67.0,20.4,97.2,0.0,Medium,84.1,4.3,54.1,True
526.0,Sophia Johnson,Male,79.1,13.3,67.5,2.0,HIGH,,5.1,85.4,False
937.0,Emma Anderson,FEMALE,77.6,10.6,75.8,0.0,Low,75.4,6.0,96.3,True
814.0,Ava Moore,Female,91.1,13.7,97.1,2.0,Medium,86.7,3.1,112.0,True
265.0,Charlotte Davis,MALE,93.3,12.5,73.8,2.0,Medium,88.9,-4.2,111.7,True
548.0,Harper Lewis,female,70.9,22.4,80.6,2.0,,83.5,3.9,54.8,True
908.0,Olivia Jones, Female ,78.1,14.3,72.9,3.0,HIGH,72.7,2.0,102.7,False
696.0,Noah White,Male,88.0,11.3,68.3,3.0,High,82.2,0.0,166.6,False
396.0,Sebastian Lee,Female,75.1,25.5,52.5,0.0,low,73.3,2.3,93.1,False
528.0,Emma Jones,,74.3,25.5,80.3,,LOW,74.5,3.4,74.5,True
469.0,Olivia Clark,MALE,90.7,7.9,57.8,2.0,High,73.7,1.8,63.2,False
19.0,Elizabeth Johnson, Female ,78.1,20.6,88.7,2.0,Medium,77.4,3.9,61.9,True
829.0,Elizabeth Perez,FEMALE,91.7,13.6,73.4,,Medium,85.0,3.9,73.3,True
507.0,Amelia Walker,Male,84.4,24.5,63.1,0.0,medium,84.7,3.1,100.5,False
670.0,Michael Harris,FEMALE,92.7,18.2,63.3,1.0,High,79.9,2.5,63.5,False
454.0,John Davis,Male,52.8,2.6,59.2,2.0,HIGH,69.3,1.5,130.1,True
368.0,Sophia Thomas,Male,97.6,27.5,77.8,0.0,LOW,85.5,2.5,76.1,False
84.0,Jackson Martin,female,81.0,20.7,79.9,0.0,High,85.7,3.6,67.4,False
62.0,,female,54.5,26.7,75.5,2.0,Medium,77.8,0.0,90.5,True
994.0,Benjamin Thompson,Female,73.7,20.3,79.9,2.0,High,86.8,1.8,40.4,True
273.0,Emma Walker, Male ,79.9,26.4,100.0,0.0,High,91.5,1.9,75.4,False
286.0,David Johnson,Female,74.3,23.0,70.6,2.0,Low,62.9,3.7,77.7,False
361.0,Elizabeth Williams,Female,60.9,6.8,86.5,1.0, Medium ,69.5,3.8,71.2,False
355.0,Charlotte Miller,Male,83.7,16.0,88.8,0.0,Medium,,2.9,47.3,False
479.0,Evelyn Miller,Male,75.2,13.6,75.8,1.0,MEDIUM,76.2,1.6,82.7,False
279.0,Sarah Smith,Male,73.8,30.7,66.9,3.0,medium,88.8,-0.4,67.2,False
13.0,Matthew Davis,Male,81.9,18.0,88.1,1.0,High,81.0,0.3,58.7,False
183.0,Lucas White,Female,57.9,10.2,73.9,1.0,Medium,70.8,3.6,53.1,True
369.0,John Young,Male,73.2,6.0,77.8,0.0,Medium,79.2,-1.2,106.1,True
514.0,Jackson Martinez,Female,99.0,12.5,95.4,0.0,,84.3,1.3,92.8,False
629.0,,female,75.7,16.9,69.7,2.0, Medium ,75.9,1.6,80.1,True
224.0,Liam Thompson,Male,94.3,11.9,69.6,1.0,HIGH,93.7,2.7,54.5,False
585.0,Benjamin Thompson,Male,68.2,17.2,63.4,3.0,medium,75.1,2.3,72.8,True
713.0,Abigail Robinson,Female,79.0,21.9,75.9,2.0,Low,,4.9,80.5,False
690.0,Emily Williams,Female,83.3,17.4,54.2,0.0,High,70.4,2.7,25.1,False
810.0,Charlotte Young,MALE,77.4,11.1,72.8,1.0,Medium,73.2,6.1,55.2,False
466.0,David Brown, Male ,70.1,,85.7,0.0,,70.4,2.3,61.2,True
,Jackson Jones,Male,87.8,9.2,79.5,1.0,medium,69.9,4.9,87.4,True
622.0,Lucas Smith,,85.9,9.3,85.3,3.0,Medium,80.4,2.2,100.6,True
177.0,Abigail Martinez,MALE,64.3,14.0,71.8,1.0,Low,69.5,-5.1,59.5,True
679.0,Amelia Walker,female,85.2,19.2,62.9,0.0,High,79.6,2.2,54.6,True
715.0,Sofia Thompson,Female,85.4,20.7,62.1,1.0,MEDIUM,84.1,1.2,65.5,True
,Ethan Lewis,Female,76.0,12.0,82.1,0.0,High,78.7,-6.2,92.6,True
457.0,Emma Allen,Female,75.8,25.5,71.2,1.0,Medium,85.3,1.8,52.2,True
531.0,Harper Williams,Female,85.9,19.8,,2.0,Medium,87.2,2.2,84.8,False
394.0,Harper Sanchez,,88.7,17.5,70.8,0.0,,82.2,-1.9,97.0,
164.0,Benjamin Jackson,FEMALE,93.8,17.3,87.6,1.0,low,87.4,3.8,64.9,True
249.0,Emily Martinez,Male,92.2,17.8,73.3,0.0,Low,85.0,2.3,87.1,False
886.0,Matthew Garcia,Male,72.3,14.6,,1.0,Medium,77.4,-0.0,113.1,False
901.0,John Martin,Female,97.7,15.7,79.2,1.0, High ,83.5,3.8,64.5,False
683.0,David Johnson,Male,100.0,14.6,78.4,0.0,Medium,73.3,1.3,95.7,False
376.0,Alex Young,,82.9,15.4,78.4,1.0,High,85.9,-7.7,67.9,False
413.0,Ava Davis,Female,75.8,9.6,69.1,2.0,Medium,77.6,1.3,69.6,False
75.0,Daniel Moore,Female,100.0,15.0,80.7,1.0,medium,76.0,3.6,74.3,True
114.0,Mia Rodriguez,female,81.9,17.1,74.1,0.0, Low ,71.5,2.6,61.5,
582.0,Elizabeth Miller,MALE,88.6,15.3,73.2,2.0,HIGH,82.2,4.4,58.5,True
571.0,David Williams,Female,95.1,15.4,60.3,1.0,High,72.3,2.3,104.9,True
391.0,Matthew Martinez,male,75.6,15.1,82.1,1.0,Medium,90.2,3.6,81.7,True
105.0,Emily Martinez,Female,72.6,22.8,91.6,0.0,Medium,80.9,2.0,86.9,False
115.0,Amelia Garcia,,67.5,15.6,67.7,0.0,Low,64.4,1.3,60.9,False
418.0,Michael Thomas, Male ,100.0,12.8,78.8,1.0,Low,79.5,5.2,86.5,False
496.0,Benjamin Taylor,Male,71.8,9.9,51.0,0.0,MEDIUM,71.7,1.1,88.7,True
458.0,Evelyn Thomas,Female,92.3,27.0,67.2,1.0,medium,75.8,-0.1,94.2,False
410.0,John Rodriguez,Male,84.4,19.4,81.8,2.0,Medium,74.6,2.1,163.6,
93.0,Elizabeth Lewis,FEMALE,76.2,13.4,87.4,1.0,,80.5,3.1,76.1,True
576.0,Isabella Martinez,male,89.4,18.9,76.9,0.0,high,91.7,2.5,59.0,True
90.0,Jackson Jones,Male,86.0,19.0,81.8,1.0, Medium ,80.0,1.6,81.3,False
337.0,David Thompson,Male,78.7,19.4,55.1,2.0,MEDIUM,69.7,2.4,50.1,True
627.0,James Lee,female,81.0,9.0,65.2,1.0,Low,64.1,2.0,45.2,True
938.0,Emma Martin,Female,80.2,14.4,69.4,2.0,High,76.0,1.6,75.6,False
950.0,Ava Martinez, Female ,76.6,15.8,54.6,0.0,Low,63.6,0.7,93.0,True
882.0,Elizabeth Davis,Male,80.1,20.6,88.5,2.0,Medium,90.2,2.9,68.8,True
619.0,Sarah Brown,Female,60.4,8.4,70.3,0.0,medium,59.4,0.9,40.4,True
623.0,Emma Walker,Male,70.5,17.4,75.9,0.0, High ,80.1,-0.2,107.0,
750.0,Emma Harris,Female,77.7,12.7,70.9,1.0,medium,73.5,1.6,73.2,False
95.0,Sebastian Martinez,Male,68.2,18.3,86.1,2.0,MEDIUM,83.8,2.9,84.7,True
12.0,Charlotte Clark, Male ,93.3,13.4,71.4,2.0,High,83.8,1.5,94.2,True
397.0,Sarah Perez,Female,80.3,15.6,61.2,,medium,79.8,2.3,70.0,True
544.0,Olivia Lee,MALE,84.5,6.7,100.0,0.0, Low ,86.6,2.5,153.2,True
44.0,James Anderson,Female,85.3,18.9,60.7,1.0,Medium,71.5,2.6,68.6,False
43.0,,Female,95.3,22.1,82.6,3.0,Medium,96.9,5.4,57.5,False
330.0,Henry Wilson,,92.2,13.3,69.1,1.0,Low,80.5,5.2,162.2,True
168.0,Olivia Anderson,,97.9,24.8,63.9,3.0,Medium,75.0,2.9,84.9,True
417.0,Charlotte Thompson, Female ,89.3,8.1,61.5,1.0,Medium,79.1,2.5,41.8,True
771.0,Evelyn Wilson,Female,,13.3,88.9,2.0,Medium,80.6,6.4,86.5,True
427.0,Elizabeth White,MALE,71.4,19.1,63.2,1.0,Medium,67.0,1.9,119.6,False
946.0,Michael Brown,Male,65.5,8.5,90.2,0.0,High,69.6,3.5,59.2,False
979.0,James Johnson,MALE,92.0,14.3,58.2,1.0,Medium,67.6,5.3,91.9,False
698.0,Harper Jones,,73.9,14.4,91.1,0.0,Medium,79.4,2.1,92.4,True
626.0,Liam Allen,Female,89.8,20.4,74.8,, Medium ,87.7,0.3,66.2,False
258.0,Michael Martin,female,76.7,17.0,80.3,0.0,Low,73.8,-0.1,43.6,True
336.0,Jackson Allen,,78.7,20.1,,0.0,High,88.5,2.1,70.2,False
16.0,Emily Lewis,,80.4,16.2,82.3,0.0, Medium ,75.8,2.5,70.0,False
852.0,Jackson Davis,male,84.8,19.9,75.5,2.0,High,84.9,4.4,80.3,True
325.0,Charlotte Lewis, Female ,88.9,18.3,96.9,0.0,Medium,86.3,2.1,94.3,False
875.0,Daniel Taylor,Male,77.1,16.3,81.9,0.0,,73.8,3.2,101.4,False
223.0,Abigail Young,Male,76.6,22.0,76.6,0.0,Medium,72.6,1.5,87.9,True
180.0,Amelia Smith,male,80.0,12.5,58.8,3.0,HIGH,75.5,2.2,115.1,False
738.0,James Williams,Male,82.1,14.8,55.3,1.0,high,75.8,0.9,127.1,True
522.0,Emma Harris,Male,76.4,25.3,71.9,2.0,Low,78.4,1.0,101.3,True
23.0,Olivia Robinson,FEMALE,83.1,17.3,86.7,1.0,low,79.5,3.7,97.0,True
357.0,Emma Wilson,Male,88.6,7.2,74.2,1.0,Low,83.2,2.9,59.2,False
680.0,David Jackson,Male,94.6,27.8,78.7,2.0,Low,97.0,2.1,111.1,True
877.0,Henry Miller,Female,100.0,14.5,76.8,0.0,Medium,86.7,2.6,40.4,False
,Evelyn Martin,MALE,81.6,14.4,71.2,2.0,High,73.0,1.8,56.5,False
432.0,Matthew Garcia,Female,74.2,18.5,58.0,2.0,Medium,70.1,0.9,82.6,False
934.0,Evelyn Young,Male,85.1,9.7,63.9,2.0,,73.3,4.2,196.6,True
849.0,Jackson Jackson,Male,94.9,9.9,79.0,0.0,,74.4,1.3,71.3,False
204.0,Daniel Sanchez,male,100.0,7.4,78.8,2.0,HIGH,78.6,1.4,66.7,False
644.0,Lucas Lee,MALE,89.7,22.3,97.2,1.0,Medium,99.0,1.5,66.1,True
94.0,Isabella Anderson,Male,78.3,3.5,54.6,2.0,low,58.0,2.6,68.1,False
569.0,Evelyn Walker,MALE,84.1,11.0,73.0,3.0,Low,81.5,3.4,79.9,False
69.0,Alex Wilson,Male,60.7,22.5,56.5,1.0,Medium,72.1,2.0,103.4,True
,Daniel Martin,Male,89.8,9.2,53.8,1.0,,76.3,0.6,65.2,False
285.0,Mia Anderson,Female,88.7,22.1,100.0,1.0,Low,90.7,-0.0,104.8,False
820.0,Charlotte Rodriguez, Female ,62.2,13.6,63.5,0.0,Low,,0.6,32.6,False
435.0,Mia Martinez,Male,,12.0,82.5,1.0,High,76.0,2.5,78.2,False
154.0,Ava Walker,Female,82.8,13.6,69.4,2.0,Medium,87.1,4.2,127.4,True
76.0,Lucas Jones,,72.4,22.3,59.0,0.0,HIGH,69.6,5.1,84.0,False
794.0,Jackson Rodriguez,female,58.2,21.8,53.0,1.0,medium,68.7,2.4,86.0,False
447.0,Sophia Young,Female,82.3,22.9,55.9,1.0,Medium,71.2,0.4,51.0,False
189.0,Noah Martin,Male,80.2,17.7,,1.0, Low ,76.3,2.9,95.6,True
272.0,John Brown,male,81.7,8.2,83.4,2.0,LOW,76.2,0.8,58.3,False
237.0,Evelyn Smith,MALE,77.3,19.0,66.6,2.0,High,,2.8,84.7,True
488.0,Amelia Smith,Male,72.9,18.5,51.4,2.0,MEDIUM,78.2,2.9,98.6,False
118.0,Emma Lee,Female,92.3,10.2,77.2,1.0,High,80.5,0.4,46.7,False
834.0,Emma Williams,Female,77.7,19.3,90.4,1.0,High,83.3,1.9,87.5,False
513.0,Elizabeth Sanchez,FEMALE,83.0,15.8,77.8,1.0,Medium,88.5,2.1,101.7,False
927.0,Henry Wilson,Female,65.9,15.9,71.6,2.0,medium,68.4,-1.0,98.0,False
605.0,Jackson Brown,,78.9,14.3,77.2,3.0,Low,,2.7,55.6,True
127.0,Alex Lewis, Male ,58.6,16.5,62.7,1.0,Medium,62.2,1.4,85.2,False
117.0,Sarah Allen,Female,82.3,11.1,79.1,1.0,Medium,78.2,3.6,84.3,False
474.0,Lucas Miller,,94.9,22.3,88.2,3.0,High,89.8,3.3,60.7,False
707.0,,Female,100.0,10.7,61.3,2.0,High,78.4,4.0,46.8,False
58.0,Emma Clark,female,95.1,24.6,74.3,3.0,Medium,,3.4,110.7,False
688.0,Harper Taylor,FEMALE,91.4,15.3,98.9,1.0,Low,81.5,0.3,73.0,False
928.0,Sophia Brown,Male,88.7,13.0,82.3,2.0,HIGH,97.5,3.3,57.0,False
370.0,Emily Thompson,Male,79.7,31.0,61.5,2.0,Medium,88.4,3.1,133.4,False
269.0,Ethan Young,Male,82.7,27.0,78.4,2.0,Low,87.4,3.3,107.6,False
47.0,Mia Davis,Male,60.9,25.1,72.8,1.0,LOW,82.3,2.9,77.6,False
350.0,Emma Lee,FEMALE,91.6,7.7,79.8,2.0,,67.1,1.8,87.9,False
196.0,Alex Thompson,Female,66.3,12.5,79.2,1.0,HIGH,76.0,-4.4,83.4,True
884.0,Emma Lewis,Male,80.1,20.7,69.2,0.0,High,83.0,4.1,72.9,False
850.0,Ethan Jones,male,84.6,13.3,46.5,0.0,Low,63.3,1.1,98.2,False
705.0,Michael Walker,MALE,88.0,,72.3,1.0,Medium,75.7,2.0,81.7,False
751.0,David Walker,Male,89.9,16.2,75.4,, High ,98.3,3.0,61.8,True
264.0,Sofia Ramirez,Female,100.0,17.1,85.9,3.0,LOW,89.1,2.7,97.5,False
444.0,Lucas Taylor,MALE,80.7,12.8,72.2,1.0,HIGH,79.8,3.9,113.5,True
689.0,Mia Young,Female,78.4,26.7,73.6,1.0,LOW,83.3,1.7,66.6,False
305.0,,Female,71.5,12.7,74.2,1.0,low,69.7,6.3,81.2,False
342.0,Ava Jones, Male ,86.4,21.8,66.0,2.0,High,89.3,1.8,66.5,True
612.0,Mia Jones,female,67.9,17.2,73.1,2.0,,73.0,3.4,88.8,False
